Date,Open,High,Low,Close,Adj Close,Volume,commodity,year,month,day
2014-07-13,21.475,21.5,21.410999,20.864,20.864,61.0,2,2014,7,13
2014-07-14,21.205,21.205,20.864,20.864,20.864,76.0,2,2014,7,14
2014-07-15,20.905001000000002,20.945,20.674999,20.841998999999998,20.841998999999998,82.0,2,2014,7,15
2014-07-16,20.76,20.790001,20.726999,20.726999,20.726999,66.0,2,2014,7,16
2014-07-17,20.825001,21.16,20.795,21.086,21.086,40.0,2,2014,7,17
2014-07-18,20.955,20.955,20.75,20.837999,20.837999,3.0,2,2014,7,18
2014-07-20,20.955,20.955,20.75,20.965999999999998,20.965999999999998,3.0,2,2014,7,20
2014-07-21,21.0,21.07,20.905001000000002,20.965999999999998,20.965999999999998,20.0,2,2014,7,21
2014-07-22,20.75,20.99,20.75,20.965,20.965,20.0,2,2014,7,22
2014-07-23,20.959999,21.014999,20.940001000000002,20.951999999999998,20.951999999999998,127.0,2,2014,7,23
2014-07-24,20.805,20.83,20.375999,20.375999,20.375999,82.0,2,2014,7,24
2014-07-25,20.434998999999998,20.75,20.434998999999998,20.587999,20.587999,52.0,2,2014,7,25
2014-07-27,20.434998999999998,20.75,20.434998999999998,20.525999,20.525999,52.0,2,2014,7,27
2014-07-28,20.635,20.67,20.525999,20.525999,20.525999,155.0,2,2014,7,28
2014-07-29,20.68,20.695,20.546,20.546,20.546,117.0,2,2014,7,29
2014-07-30,20.549999,20.558001,20.549999,20.558001,20.558001,113.0,2,2014,7,30
2014-07-31,20.584999,20.584999,20.372999,20.372999,20.372999,17.0,2,2014,7,31
2014-01-08,20.332001,20.332001,20.295,20.332001,20.332001,30.0,2,2014,1,8
2014-03-08,20.332001,20.332001,20.295,20.194000000000003,20.194000000000003,30.0,2,2014,3,8
2014-04-08,20.35,20.360001,20.165001,20.194000000000003,20.194000000000003,31.0,2,2014,4,8
2014-05-08,19.794001,19.794001,19.794001,19.794001,19.794001,1.0,2,2014,5,8
2014-06-08,19.985001,20.025,19.985001,19.985001,19.985001,2.0,2,2014,6,8
2014-07-08,19.951,19.951,19.951,19.951,19.951,3.0,2,2014,7,8
2014-08-08,19.934998999999998,19.934998999999998,19.902,19.902,19.902,2.0,2,2014,8,8
2014-10-08,19.934998999999998,19.934998999999998,19.902,20.059998999999998,20.059998999999998,2.0,2,2014,10,8
2014-11-08,20.059998999999998,20.059998999999998,20.059998999999998,20.059998999999998,20.059998999999998,0.0,2,2014,11,8
2014-12-08,19.870001000000002,19.870001000000002,19.870001000000002,19.870001000000002,19.870001000000002,0.0,2,2014,12,8
2014-08-13,19.809998999999998,19.809998999999998,19.809998999999998,19.809998999999998,19.809998999999998,0.0,2,2014,8,13
2014-08-14,19.871,19.871,19.870001000000002,19.871,19.871,11.0,2,2014,8,14
2014-08-15,19.49,19.535,19.49,19.49,19.49,11.0,2,2014,8,15
2014-08-17,19.49,19.535,19.49,19.6,19.6,11.0,2,2014,8,17
2014-08-18,19.555,19.6,19.555,19.6,19.6,1.0,2,2014,8,18
2014-08-19,19.434998999999998,19.434998999999998,19.386999,19.386999,19.386999,9.0,2,2014,8,19
2014-08-20,19.434998999999998,19.472,19.434998999999998,19.472,19.472,3.0,2,2014,8,20
2014-08-21,19.285,19.41,19.285,19.389999,19.389999,6.0,2,2014,8,21
2014-08-22,19.361,19.361,19.361,19.361,19.361,0.0,2,2014,8,22
2014-08-24,19.361,19.361,19.361,19.337999,19.337999,0.0,2,2014,8,24
2014-08-25,19.360001,19.360001,19.337999,19.337999,19.337999,3.0,2,2014,8,25
2014-08-26,19.5,19.5,19.370001000000002,19.370001000000002,19.370001000000002,1.0,2,2014,8,26
2014-08-27,19.41,19.41,19.395,19.395,19.395,41245.0,2,2014,8,27
2014-08-28,19.424999,19.875,19.415001,19.534000000000002,19.534000000000002,18998.0,2,2014,8,28
2014-08-29,19.459999,19.57,19.395,19.398001,19.398001,3301.0,2,2014,8,29
2014-08-31,19.459999,19.57,19.395,19.070999,19.070999,3301.0,2,2014,8,31
2014-02-09,19.405001000000002,19.469998999999998,19.040001,19.070999,19.070999,327.0,2,2014,2,9
2014-03-09,19.139999,19.174999,19.1,19.108,19.108,130.0,2,2014,3,9
2014-04-09,19.145,19.295,18.985001,19.063999,19.063999,120.0,2,2014,4,9
2014-05-09,19.035,19.129998999999998,18.99,19.082001,19.082001,131.0,2,2014,5,9
2014-07-09,19.035,19.129998999999998,18.99,18.886999,18.886999,131.0,2,2014,7,9
2014-08-09,19.205,19.235001,18.879998999999998,18.886999,18.886999,80.0,2,2014,8,9
2014-09-09,18.91,18.975,18.844,18.844,18.844,157.0,2,2014,9,9
2014-10-09,18.98,19.040001,18.851,18.856001000000003,18.856001000000003,99.0,2,2014,10,9
